10,96.4259
20,107.315
30,164.836
40,210.355
50,245.601
60,282.661
70,336.395
80,383.362
90,461.583
100,493.117
110,571.653
120,646.299
130,685.58
140,737.83
150,784.995
160,883.228
170,919.086
180,980.932
190,1067.53
200,1124.26
210,1176.09
220,1239
230,1310.36
240,1373.35
250,1441.37
260,1497.58
270,1560.17
280,1638.74
290,1688.07
300,1751.93
310,1822.94
320,1890.26
330,1971.9
340,2040.84
350,2112.48
360,2167.6
370,2228.2
380,2319.07
390,2385.8
400,2432.79
410,2532.02
420,2560.31
430,2675.23
440,2719.18
450,2808.16
460,2875.56
470,2920.78
480,3018.22
490,3084.26
500,3162.3
510,3251.35
520,3296.99
530,3383.22
540,3461.65
550,3526.66
560,3602.84
570,3662.41
580,3748.56
590,3807.27
600,3884.36
610,3946.81
620,4029.03
630,4115.6
640,4165.14
650,4278.03
660,4347.68
670,4412.68
680,4475.62
690,4553.72
700,4641.96
710,4713.54
720,4760.26
730,4871.12
740,4955.52
750,5000.05
760,5078.92
770,5153.32
780,5254.25
790,5316.51
800,5383.29
810,5454.6
820,5574.83
830,5629.58
840,5707.66
850,5802.25
860,5871.96
870,5942.99
880,6013.13
890,6085.39
900,6170.16
910,6248.23
920,6312.02
930,6421.92
940,6460.13
950,6553.44
960,6638.46
970,6723.98
980,6800.8
990,6893.13
1000,6942.36
