10,105
20,400
30,903
40,1609
50,2506
60,3610
70,4901
80,6404
90,8105
100,10004
110,12106
120,14406
130,16910
140,19609
150,22504
160,25604
170,28900
180,32408
190,36108
200,40008
210,44101
220,48405
230,52907
240,57603
250,62506
260,67606
270,72910
280,78404
290,84106
300,90004
310,96105
320,102406
330,108900
340,115609
350,122506
360,129609
370,136900
380,144404
390,152100
400,160002
410,168108
420,176407
430,184903
440,193609
450,202500
460,211601
470,220908
480,230406
490,240109
500,250006
510,260108
520,270404
530,280902
540,291605
550,302507
560,313603
570,324901
580,336406
590,348105
600,360000
610,372101
620,384400
630,396910
640,409603
650,422509
660,435608
670,448903
680,462406
690,476106
700,490008
710,504102
720,518405
730,532901
740,547610
750,562503
760,577608
770,592904
780,608404
790,624108
800,640002
810,656108
820,672407
830,688903
840,705609
850,722504
860,739600
870,756902
880,774405
890,792103
900,810005
910,828100
920,846402
930,864909
940,883602
950,902504
960,921607
970,940907
980,960408
990,980101
1000,1000006
